BestellungID;PosID;ProduktID;SpezLieferAdrID;Menge;Preis
1;1;1;;1;2,00
1;2;2;;4;4,00
1;3;3;;9;5,00
2;4;8;;4;8,00
2;5;10;1;4;0,50
2;6;12;;3;4,00
3;7;21;;9;4,00
3;8;24;;3;3,00
4;9;36;;3;0,50
4;10;40;;4;1,00
4;11;44;;4;4,00
5;12;60;;3;0,50
5;13;65;;1;4,50
6;14;84;;3;0,75
6;15;90;631;3;1,00
6;16;96;;3;8,00
7;17;119;;1;2,00
7;18;126;;3;4,00
8;19;25;;8;7,00
8;20;33;494;3;0,80
8;21;41;;3;1,20
9;22;71;;6;4,00
9;23;80;;3;4,00
10;24;113;;3;4,50
10;25;123;;6;3,00
10;26;6;;3;7,00
11;27;43;;3;2,30
11;28;54;;3;5,00
12;29;94;;3;4,00
12;30;106;422;3;7,00
12;31;118;;3;6,00
13;32;35;;4;1,00
13;33;48;;3;4,50
14;34;95;;4;2,00
14;35;109;287;10;3,00
14;36;123;;3;3,00
15;37;47;;9;9,00
15;38;62;;3;4,00
16;39;116;;3;3,00
16;40;5;;8;5,00
16;41;21;;3;4,00
17;42;79;;6;1,50
17;43;96;;3;8,00
18;44;30;;3;4,00
18;45;48;589;3;4,50
18;46;66;;3;3,00
19;47;4;;8;5,00
19;48;23;;3;3,00
20;49;91;;8;1,20
20;50;111;263;3;8,00
20;51;4;;3;5,00
21;52;76;;3;4,00
21;53;97;;9;9,00
22;54;45;;3;2,00
22;55;67;;10;3,50
22;56;89;;4;0,80
23;57;41;;3;1,20
23;58;64;;8;4,50
24;59;19;;3;2,00
24;60;43;321;3;2,30
24;61;67;;3;3,50
25;62;26;;4;4,00
25;63;51;;9;2,00
26;64;13;;8;4,50
26;65;39;43;6;0,80
26;66;65;;3;4,50
27;67;31;;3;2,00
27;68;58;;3;8,00
28;69;27;;3;2,00
28;70;55;;4;5,00
28;71;83;;4;0,80
29;72;56;;3;7,00
29;73;85;;5;1,00
30;74;61;;3;8,00
30;75;91;112;6;1,20
30;76;121;;3;4,00
31;77;101;;7;2,00
31;78;5;;6;5,00
32;79;115;;8;4,50
32;80;20;392;8;8,00
32;81;52;;3;4,00
33;82;39;;6;0,80
33;83;72;;3;2,00
34;84;62;;3;4,00
34;85;96;;3;8,00
34;86;3;;3;5,00
35;87;124;;3;3,00
35;88;32;;4;5,00
36;89;29;;3;1,50
36;90;65;576;3;4,50
36;91;101;;3;2,00
37;92;102;;3;4,00
37;93;12;;3;4,00
38;94;16;;8;3,00
38;95;54;173;3;5,00
38;96;92;;3;2,40
39;97;100;;3;5,60
39;98;12;;3;4,00
40;99;23;;3;3,00
40;100;63;;3;4,50
40;101;103;;8;5,00
41;102;118;;3;6,00
41;103;32;;4;5,00
42;104;50;;3;5,60
42;105;92;644;3;2,40
42;106;7;;3;8,00
43;107;29;;1;1,50
43;108;72;;3;2,00
44;109;97;;8;9,00
44;110;14;50;8;4,50
44;111;58;;3;8,00
45;112;87;;3;0,50
45;113;5;;9;5,00
46;114;37;;3;0,50
46;115;83;;2;0,80
46;116;2;;4;4,00
47;117;38;;6;0,50
47;118;85;;2;1,00
48;119;124;;3;3,00
48;120;45;396;3;2,00
48;121;93;;3;2,30
49;122;9;;6;3,00
49;123;58;;6;8,00
50;124;104;;4;5,00
50;125;27;36;6;2,00
50;126;77;;3;2,00
51;127;1;;9;2,00
51;128;51;;3;2,00
52;129;104;;3;5,00
52;130;29;;8;1,50
52;131;81;;3;2,00
53;132;11;;3;8,00
53;133;64;;8;4,50
54;134;124;;3;3,00
54;135;51;447;6;2,00
54;136;105;;3;5,00
55;137;42;;6;2,40
55;138;97;;6;9,00
56;139;37;;8;0,50
56;140;93;234;3;2,30
56;141;22;;3;2,00
57;142;93;;6;2,30
57;143;23;;9;3,00
58;144;97;;3;9,00
58;145;28;;4;2,00
58;146;86;;4;0,50
59;147;37;;9;0,50
59;148;96;;3;8,00
60;149;50;;3;5,60
60;150;110;259;3;0,50
60;151;43;;3;2,30
61;152;1;;8;2,00
61;153;62;;6;4,00
62;154;23;;4;3,00
62;155;85;104;10;1,00
62;156;20;;3;8,00
63;157;112;;3;4,00
63;158;48;;3;4,50
64;159;16;;3;3,00
64;160;80;;8;4,00
64;161;17;;4;3,50
65;162;116;;3;3,00
65;163;54;;6;5,00
66;164;29;;3;1,50
66;165;95;308;6;2,00
66;166;34;;3;0,75
67;167;13;;5;4,50
67;168;80;;3;4,00
68;169;62;;4;4,00
68;170;3;125;3;5,00
68;171;71;;3;4,00
69;172;57;;3;8,00
69;173;126;;6;4,00
70;174;115;;3;4,50
70;175;58;;4;8,00
70;176;1;;8;2,00
71;177;121;;3;4,00
71;178;65;;10;4,50
72;179;61;;3;8,00
72;180;6;577;3;7,00
72;181;78;;3;2,00
73;182;78;;3;2,00
73;183;24;;3;3,00
74;184;27;;3;2,00
74;185;101;85;2;2,00
74;186;48;;3;4,50
75;187;55;;3;5,00
75;188;3;;3;5,00
76;189;13;;3;4,50
76;190;89;;8;0,80
76;191;38;;4;0,50
77;192;52;;3;4,00
77;193;2;;10;4,00
78;194;19;;3;2,00
78;195;97;564;6;9,00
78;196;48;;3;4,50
79;197;69;;3;2,00
79;198;21;;6;4,00
80;199;45;;3;2,00
80;200;125;27;8;7,00
80;201;78;;3;2,00
81;202;106;;3;7,00
81;203;60;;3;0,50
82;204;91;;3;1,20
82;205;46;;4;8,00
82;206;1;;8;2,00
83;207;36;;3;0,50
83;208;119;;4;2,00
84;209;30;;3;4,00
84;210;114;251;3;4,50
84;211;71;;3;4,00
85;212;113;;4;4,50
85;213;71;;3;4,00
86;214;116;;4;3,00
86;215;75;199;6;7,00
86;216;34;;3;0,75
87;217;83;;9;0,80
87;218;43;;6;2,30
88;219;95;;3;2,00
88;220;56;;8;7,00
88;221;17;;4;3,50
89;222;73;;6;3,00
89;223;35;;1;1,00
90;224;94;;3;4,00
90;225;57;276;6;8,00
90;226;20;;3;8,00
91;227;83;;7;0,80
91;228;47;;3;9,00
92;229;113;;4;4,50
92;230;78;453;3;2,00
92;231;43;;3;2,30
93;232;113;;3;4,50
93;233;79;;3;1,50
94;234;25;;3;7,00
94;235;119;;2;2,00
94;236;86;;4;0,50
95;237;36;;3;0,50
95;238;4;;8;5,00
96;239;84;;3;0,75
96;240;53;483;3;5,00
96;241;22;;3;2,00
97;242;106;;8;7,00
97;243;76;;3;4,00
98;244;36;;3;0,50
98;245;7;13;10;8,00
98;246;105;;3;5,00
99;247;69;;9;2,00
99;248;41;;3;1,20
100;249;8;;3;8,00
100;250;108;;3;8,00
100;251;81;;3;2,00
101;252;52;;3;4,00
101;253;26;;10;4,00
102;254;1;;3;2,00
102;255;102;285;3;4,00
102;256;77;;3;2,00
103;257;55;;5;5,00
103;258;31;;6;2,00
104;259;12;;3;4,00
104;260;116;130;8;3,00
104;261;93;;3;2,30
105;262;78;;3;2,00
105;263;56;;3;7,00
106;264;44;;3;4,00
106;265;23;;2;3,00
106;266;2;;4;4,00
107;267;121;;9;4,00
107;268;101;;4;2,00
108;269;96;;3;8,00
108;270;77;636;3;2,00
108;271;58;;3;8,00
109;272;57;;3;8,00
109;273;39;;3;0,80
110;274;41;;4;1,20
110;275;24;384;3;3,00
110;276;7;;3;8,00
111;277;13;;3;4,50
111;278;124;;3;3,00
112;279;6;;3;7,00
112;280;118;;4;6,00
112;281;103;;8;5,00
113;282;116;;3;3,00
113;283;102;;6;4,00
114;284;118;;3;6,00
114;285;105;376;6;5,00
114;286;92;;3;2,40
115;287;112;;8;4,00
